Oberndorf/Melk;295m;24.1°;37 %;West, 17 km/h;35 km/h;0.0 mm;100 %;1017.2 hPa;2022-05-21 17:50:04
Lilienfeld/Tarschberg;696m;20.0°;49 %;West, 14 km/h;51 km/h;0.0 mm;99 %;1016.8 hPa;2022-05-21 17:50:04
Wachtberg/Steyr;385m;23.6°;40 %;Nordwest, 10 km/h;33 km/h;0.0 mm;96 %;1017.4 hPa;2022-05-21 17:50:04
Waidhofen a.d. Ybbs;378m;23.1°;48 %;Nordwest, 1 km/h;16 km/h;0.0 mm;81 %;1018.3 hPa;2022-05-21 17:50:04
Lunz am See;611m;22.1°;39 %;West, 12 km/h;32 km/h;0.0 mm;66 %;1016.7 hPa;2022-05-21 17:50:04
Bad Deutsch-Altenbg.;169m;25.8°;29 %;Nordwest, 16 km/h;42 km/h;0.0 mm;100 %;n.v.;2022-05-21 17:50:04
Göttlesbrunn;195m;25.3°;n.v.;n.v.;n.v.;0.0 mm;n.v.;n.v.;2022-05-21 17:50:04
Schwechat Flughafen;183m;25.5°;33 %;West, 37 km/h;52 km/h;0.0 mm;100 %;1015.7 hPa;2022-05-21 17:50:04
Brunn am Gebirge;290m;24.0°;35 %;West, 18 km/h;45 km/h;n.v.;100 %;1016.1 hPa;2022-05-21 17:50:04
Klausen-Leopoldsdorf;390m;22.8°;39 %;West, 20 km/h;50 km/h;0.0 mm;100 %;1016.7 hPa;2022-05-21 17:50:04
Gumpoldskirchen;212m;24.5°;32 %;West, 22 km/h;51 km/h;0.0 mm;100 %;1017.1 hPa;2022-05-21 17:50:04
Seibersdorf;185m;25.9°;36 %;Nordwest, 22 km/h;48 km/h;0.0 mm;100 %;1015.9 hPa;2022-05-21 17:50:04
Bad Vöslau;266m;25.8°;32 %;West, 10 km/h;44 km/h;0.0 mm;100 %;n.v.;2022-05-21 17:50:04
Berndorf;337m;25.3°;37 %;Nordwest, 7 km/h;31 km/h;0.0 mm;95 %;1015.9 hPa;2022-05-21 17:50:04
Gutenstein/Mariahilfbg.;710m;21.8°;40 %;Südost, 2 km/h;35 km/h;0.0 mm;100 %;1015.3 hPa;2022-05-21 17:50:04
Wiener Neustadt;281m;25.4°;32 %;Nordwest, 22 km/h;46 km/h;0.0 mm;96 %;1015.3 hPa;2022-05-21 17:50:04
Hohe Wand;937m;19.9°;46 %;Nord, 1 km/h;36 km/h;0.0 mm;99 %;k.A.;2022-05-21 17:50:04
Puchberg/Schneeberg;586m;24.0°;33 %;West, 16 km/h;48 km/h;0.0 mm;100 %;1014.8 hPa;2022-05-21 17:50:04
Rax/Bergstation;1558m;15.0°;53 %;Nordwest, 12 km/h;59 km/h;0.0 mm;93 %;k.A.;2022-05-21 17:50:04
Reichenau/Rax;488m;25.2°;32 %;West, 13 km/h;37 km/h;0.0 mm;75 %;1014.9 hPa;2022-05-21 17:50:04
Pottschach;419m;26.1°;32 %;West, 10 km/h;39 km/h;0.0 mm;88 %;1014.9 hPa;2022-05-21 17:50:04
Semmering/Pass;991m;20.8°;40 %;West, 15 km/h;41 km/h;0.0 mm;95 %;k.A.;2022-05-21 17:50:04
Hirschenkogel;1320m;17.7°;45 %;Nordwest, 15 km/h;59 km/h;0.0 mm;96 %;k.A.;2022-05-21 17:50:04
Aspang;456m;25.2°;36 %;Nord, 7 km/h;33 km/h;0.0 mm;100 %;1014.8 hPa;2022-05-21 17:50:04
Krumbach;542m;25.8°;28 %;Nordwest, 14 km/h;34 km/h;0.0 mm;98 %;1014.4 hPa;2022-05-21 17:50:04
Mönichkirchen;990m;21.5°;36 %;Nordwest, 9 km/h;32 km/h;0.0 mm;97 %;k.A.;2022-05-21 17:50:04
